;Codigo accidentado;Turno;Gender;Planta;Tipo accidente;Tipo trabajador;Fabrica;Tecnología;Pais;Horas Presencia Efectiva Subcontratados;Horas Presencia Efectiva ETTs;Horas Formacion Seguridad Propios;Horas Formacion Seguridad ETTs;Accident;wk_position;Age;Severity;Accident_place
1609;;Turno de tarde;Hombre;55;Accidente c/b;Indefinido;Hiasa;Sierra;España;0.0;167848.0;1300.5;101.5;No;MANTENIMIENTO;Mayor 50;Muy grave;Mantenimiento
1610;;Turno de mañana;Hombre;26;Accidente c/b;Prácticas;Campinas;Skinpass;Brasil;2835.52;2046.18;1212.5;0.0;No;Maschinenführer 2 Presse 3;Mayor 50;Leve;Mantenimiento
1611;;Turno de noche;Hombre;16;Accidente s/b;Subcontratado;Burgos;Corte Transversal;España;25249.0;42484.0;1419.3;830.0999999999999;No;Werkzeugbau;Entre 30-50;Muy grave;Mantenimiento
1612;;Turno de mañana;Hombre;20;Accidente s/b;ETT;Burgos;Skinpass;España;25249.0;42484.0;1419.3;830.0999999999999;No;empaquetador;Entre 30-50;Leve;Mantenimiento
1613;;Turno de noche;Hombre;12;Accidente c/b;Subcontratado;Barcelona;Skinpass;España;25684.5;18302.3;1150.6;151.5;No;Titular de longi004;Entre 30-50;Grave;Mantenimiento
1614;;Turno de noche;Hombre;54;Accidente c/b;Indefinido;Hiasa;Punzonado;España;0.0;167848.0;1300.5;101.5;No;Slitting Line Operator;Entre 30-50;Grave;Mantenimiento
1615;;Turno de mañana;Hombre;45;Accidente c/b;Indefinido;Hiasa;Decapado;España;0.0;167848.0;1300.5;101.5;No;Pontonero y maquinista TRANS006;Mayor 50;Muy grave;Mantenimiento
1616;;Turno de tarde;Hombre;20;Accidente c/b;Duración Determinada;Burgos;Skinpass;España;25249.0;42484.0;1419.3;830.0999999999999;No;GRUISTA NAVE 5;Mayor 50;Grave;Mantenimiento
1617;;Turno de tarde;Hombre;5;Accidente s/b;No aplica;Arizona;Corte Láser;EEUU;0.0;0.0;0.0;0.0;No;EMBALADOR 480;Menor 30;Muy grave;Mantenimiento
1618;;Turno de tarde;Hombre;47;Accidente c/b;Incidente (no aplica);Hiasa;Laminado;España;0.0;167848.0;1300.5;101.5;No;Maquinista LC4;Menor 30;Muy grave;Mantenimiento
1619;;Turno de mañana;Hombre;36;Accidente c/b;No aplica;Dongguan;Blanking;China;0.0;0.0;1501.0;0.0;No;Línea de Prensa - Cargador de Bobina;Menor 30;Leve;Mantenimiento
1620;;Turno de noche;Hombre;33;Incidente;Indefinido;Gonvauto Asturias;Tubos;España;0.0;29316.0;188.0;47.0;No;Chofer;Menor 30;Muy grave;Mantenimiento
1621;;Turno de tarde;Hombre;13;Incidente;Prácticas;Burgos;Blanking;España;25249.0;42484.0;1419.3;830.0999999999999;No;Auxiliar/montador LONGI002;Entre 30-50;Muy grave;Mantenimiento
1622;;Turno de noche;Hombre;84;Accidente s/b;Indefinido;Tarragona;Corte Transversal;España;19528.0;6377.0;262.0;56.3;No;soldadura;Entre 30-50;Leve;Mantenimiento
1623;;Turno de mañana;Hombre;33;Accidente s/b;Indefinido;Gonvauto Asturias;Tubos;España;0.0;29316.0;188.0;47.0;No;hanger;Entre 30-50;Muy grave;Mantenimiento
1624;;Turno de mañana;Hombre;53;Accidente c/b;Indefinido con preaviso;Hiasa;Prensa;España;0.0;167848.0;1300.5;101.5;No;mantenimiento mecánico;Mayor 50;Grave;Mantenimiento
1625;;Turno de tarde;Mujer;14;Accidente c/b;Indefinido con preaviso;Burgos;Cizalla;España;25249.0;42484.0;1419.3;830.0999999999999;No;Maschinenführer 2 Presse 2;Mayor 50;Leve;Mantenimiento
1626;;Turno de mañana;Hombre;16;Accidente s/b;Indefinido;Burgos;Corte Transversal;España;25249.0;42484.0;1419.3;830.0999999999999;No;Stacker - training as forklift driver;Mayor 50;Grave;Mantenimiento
1627;;Turno de mañana;Hombre;28;Accidente s/b;Subcontratado;Galicia;Blanking;España;17051.0;211.0;756.3;0.4;No;team leader;Mayor 50;Leve;Mantenimiento
1628;;Turno de mañana;Hombre;4;Incidente;Incidente (no aplica);Arizona;Células Soldadura;EEUU;0.0;0.0;0.0;0.0;No;Lkw Fahrer Firma Schielke;Mayor 50;Muy grave;Mantenimiento
1629;;Turno de mañana;Hombre;28;Incidente;No aplica;Galicia;Blanking;España;17051.0;211.0;756.3;0.4;No;Operario de puente grúa;Mayor 50;Muy grave;Mantenimiento
1630;;Turno de noche;Mujer;26;Incidente;Cedidos de otras plantas;Campinas;Skinpass;Brasil;2835.52;2046.18;1212.5;0.0;No;Mechatroniker;Entre 30-50;Muy grave;Mantenimiento
1631;;Turno de tarde;Hombre;53;Accidente s/b;Prácticas;Hiasa;Prensa;España;0.0;167848.0;1300.5;101.5;No;OPERARIO LONGI 3;Mayor 50;Muy grave;Mantenimiento
1632;;Turno de noche;Hombre;4;Accidente c/b;Incidente (no aplica);Arizona;Células Soldadura;EEUU;0.0;0.0;0.0;0.0;No;Tornero mecanico;Menor 30;Grave;Mantenimiento
1633;;Turno de mañana;Hombre;54;Accidente c/b;Indefinido con preaviso;Hiasa;Punzonado;España;0.0;167848.0;1300.5;101.5;No;si;Menor 30;Grave;Mantenimiento
1634;;Turno de noche;Hombre;84;Accidente c/b;Prácticas;Tarragona;Corte Transversal;España;19528.0;6377.0;262.0;56.3;No;Operador de Produção II;Entre 30-50;Leve;Mantenimiento
1635;;Turno de noche;Hombre;4;Accidente c/b;Cedidos de otras plantas;Arizona;Células Soldadura;EEUU;0.0;0.0;0.0;0.0;No;Hornero Aprendiz;Entre 30-50;Muy grave;Mantenimiento
1636;;Turno de noche;Hombre;15;Accidente s/b;Cedidos de otras plantas;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;No;Shift Manager;Entre 30-50;Muy grave;Mantenimiento
1637;;Turno de noche;Hombre;63;Accidente s/b;No aplica;Loudi;Cizalla;China;0.0;46112.0;1542.9;0.0;No;Verificador tubos 601;Menor 30;Muy grave;Mantenimiento
1638;;Turno de tarde;Mujer;16;Incidente;Indefinido con preaviso;Burgos;Corte Transversal;España;25249.0;42484.0;1419.3;830.0999999999999;No;Maschinenführer 2  LONGI 001;Mayor 50;Leve;Mantenimiento
1639;;Turno de mañana;Hombre;43;Incidente;Incidente (no aplica);Hiasa;Corte Plasma;España;0.0;167848.0;1300.5;101.5;No;Titular Linea;Mayor 50;Muy grave;Mantenimiento
1640;;Turno de noche;Mujer;43;Accidente s/b;Prácticas;Hiasa;Corte Plasma;España;0.0;167848.0;1300.5;101.5;No;MANTENIMIENTO;Menor 30;Muy grave;Mantenimiento
1641;;Turno de mañana;Hombre;34;Incidente;No aplica;Gonvauto Barcelona;Blanking;España;72495.20000000001;21968.3;587.0;0.0;No;TORO GRANDE;Entre 30-50;Muy grave;Mantenimiento
1642;;Turno de tarde;Hombre;56;Incidente;Duración Determinada;Hiasa;Tubos;España;0.0;167848.0;1300.5;101.5;No;ENH CNC OPERATOR;Entre 30-50;Grave;Mantenimiento
1643;;Turno de mañana;Mujer;35;Accidente c/b;Subcontratado;Gonvauto Barcelona;Corte Transversal;España;72495.20000000001;21968.3;587.0;0.0;No;Maquinista tubos;Entre 30-50;Muy grave;Mantenimiento
1644;;Turno de mañana;Hombre;84;Accidente s/b;Indefinido con preaviso;Tarragona;Corte Transversal;España;19528.0;6377.0;262.0;56.3;No;Operario entrada linea decapado;Mayor 50;Muy grave;Mantenimiento
1645;;Turno de tarde;Hombre;15;Accidente s/b;ETT;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;No;Ayudante de perfiladora de Dimeco;Mayor 50;Grave;Mantenimiento
1646;;Turno de tarde;Hombre;20;Accidente c/b;ETT;Burgos;Skinpass;España;25249.0;42484.0;1419.3;830.0999999999999;No;Anlagenführer Laser 5;Mayor 50;Leve;Mantenimiento
1647;;Turno de noche;Hombre;29;Incidente;Duración Determinada;Galicia;Corte Longitudinal;España;17051.0;211.0;756.3;0.4;No;Maquinista Trans 003;Menor 30;Muy grave;Mantenimiento
1648;;Turno de noche;Hombre;16;Accidente s/b;ETT;Burgos;Corte Transversal;España;25249.0;42484.0;1419.3;830.0999999999999;No;Gruista Subcontrata Pardo Freijo;Mayor 50;Grave;Mantenimiento
1649;;Turno de noche;Hombre;15;Accidente s/b;Indefinido con preaviso;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;No;Puente Grua Tubos;Menor 30;Grave;Mantenimiento
1650;;Turno de tarde;Hombre;1;Accidente s/b;Cedidos de otras plantas;Argentina;Blanking;Argentina;0.0;0.0;606.5;0.0;No;AYUDANTE PRENSA002;Entre 30-50;Grave;Mantenimiento
1651;;Turno de mañana;Hombre;1;Incidente;No aplica;Argentina;Blanking;Argentina;0.0;0.0;606.5;0.0;No;Kranfahrer Halle 1 Nord;Menor 30;Muy grave;Mantenimiento
1652;;Turno de tarde;Hombre;18;Accidente c/b;ETT;Burgos;Laminado;España;25249.0;42484.0;1419.3;830.0999999999999;No;galvanized-hanging-handling;Menor 30;Leve;Mantenimiento
1653;;Turno de noche;Mujer;33;Accidente c/b;Subcontratado;Gonvauto Asturias;Tubos;España;0.0;29316.0;188.0;47.0;No;Flejador-embalador;Entre 30-50;Leve;Mantenimiento
1654;;Turno de noche;Hombre;53;Incidente;Duración Determinada;Hiasa;Prensa;España;0.0;167848.0;1300.5;101.5;No;maquinista / gruista;Mayor 50;Muy grave;Mantenimiento
1655;;Turno de noche;Hombre;43;Accidente c/b;Cedidos de otras plantas;Hiasa;Corte Plasma;España;0.0;167848.0;1300.5;101.5;No;Gruista/soldador;Entre 30-50;Grave;Mantenimiento
1656;;Turno de tarde;Hombre;1;Incidente;Duración Determinada;Argentina;Blanking;Argentina;0.0;0.0;606.5;0.0;No;Gruista caldera;Mayor 50;Grave;Mantenimiento
1657;;Turno de tarde;Hombre;41;Accidente s/b;No aplica;Hiasa;Corte Láser;España;0.0;167848.0;1300.5;101.5;No;Carretilleros;Entre 30-50;Leve;Mantenimiento
1658;;Turno de mañana;Hombre;57;Accidente s/b;Subcontratado;Kaluga;Blanking;Russia;4675.0;2625.3;240.0;0.0;No;EMBALADORA LONGI 6;Mayor 50;Leve;Mantenimiento
1659;;Turno de mañana;Hombre;19;Accidente s/b;Incidente (no aplica);Burgos;Recocido;España;25249.0;42484.0;1419.3;830.0999999999999;No;Acumulador;Mayor 50;Leve;Mantenimiento
1660;;Turno de mañana;Hombre;56;Accidente s/b;Prácticas;Hiasa;Tubos;España;0.0;167848.0;1300.5;101.5;No;Gruista LONGI004 y LONGI008;Entre 30-50;Muy grave;Mantenimiento
1661;;Turno de tarde;Hombre;56;Accidente c/b;ETT;Hiasa;Tubos;España;0.0;167848.0;1300.5;101.5;No;CHOFER;Entre 30-50;Muy grave;Mantenimiento
1662;;Turno de noche;Hombre;33;Accidente c/b;Duración Determinada;Gonvauto Asturias;Tubos;España;0.0;29316.0;188.0;47.0;No;Montador / Auxiliar LONGI003;Entre 30-50;Leve;Mantenimiento
1663;;Turno de noche;Hombre;54;Accidente s/b;Prácticas;Hiasa;Punzonado;España;0.0;167848.0;1300.5;101.5;No;Tornero ajustador;Entre 30-50;Muy grave;Mantenimiento
1664;;Turno de tarde;Hombre;19;Incidente;No aplica;Burgos;Recocido;España;25249.0;42484.0;1419.3;830.0999999999999;No;Gruista de tubos;Entre 30-50;Muy grave;Mantenimiento
1665;;Turno de noche;Mujer;54;Incidente;Cedidos de otras plantas;Hiasa;Punzonado;España;0.0;167848.0;1300.5;101.5;No;Verificador tubos 601;Entre 30-50;Muy grave;Mantenimiento
1666;;Turno de noche;Hombre;2;Accidente c/b;ETT;Argentina;Corte Longitudinal;Argentina;0.0;0.0;606.5;0.0;No;Maschinenführer 2 Presse 1;Entre 30-50;Muy grave;Mantenimiento
1667;;Turno de tarde;Hombre;15;Incidente;No aplica;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;No;TRANS 4;Mayor 50;Grave;Mantenimiento
1668;;Turno de noche;Hombre;12;Incidente;Cedidos de otras plantas;Barcelona;Skinpass;España;25684.5;18302.3;1150.6;151.5;No;Handling;Menor 30;Leve;Mantenimiento
1669;;Turno de noche;Hombre;56;Accidente c/b;ETT;Hiasa;Tubos;España;0.0;167848.0;1300.5;101.5;No;Operador de Embalagem / Operador Auxiliar;Menor 30;Leve;Mantenimiento
1670;;Turno de tarde;Hombre;14;Accidente c/b;Incidente (no aplica);Burgos;Cizalla;España;25249.0;42484.0;1419.3;830.0999999999999;No;Handling;Mayor 50;Grave;Mantenimiento
1671;;Turno de tarde;Hombre;63;Incidente;ETT;Loudi;Cizalla;China;0.0;46112.0;1542.9;0.0;No;Reemplazo de herramienta en la línea de corte transversal PRENS002;Mayor 50;Leve;Mantenimiento
1672;;Turno de noche;Hombre;5;Accidente s/b;No aplica;Arizona;Corte Láser;EEUU;0.0;0.0;0.0;0.0;No;Maniobra de marcha atrás después de dejar el palé con producto acabado en la zona B3;Entre 30-50;Muy grave;Mantenimiento
1673;;Turno de noche;Hombre;46;Accidente c/b;Indefinido;Hiasa;Galvanizado Inmersión;España;0.0;167848.0;1300.5;101.5;No;Camionero;Entre 30-50;Leve;Mantenimiento
1674;;Turno de mañana;Hombre;32;Accidente c/b;Duración Determinada;Gonvauto Asturias;Sierra;España;0.0;29316.0;188.0;47.0;No;Maquinista Trans3;Mayor 50;Muy grave;Mantenimiento
1675;;Turno de noche;Hombre;44;Accidente c/b;ETT;Hiasa;Corte Transversal;España;0.0;167848.0;1300.5;101.5;No;sacado de los palés verdes de la zona para suministrarlos a las líneas como bases de palés alternativos, utilizados reiteradamente por Gestamp;Mayor 50;Leve;Mantenimiento
1676;;Turno de noche;Hombre;57;Accidente c/b;Prácticas;Kaluga;Blanking;Russia;4675.0;2625.3;240.0;0.0;No;Slitting line Operator;Entre 30-50;Leve;Mantenimiento
1677;;Turno de noche;Hombre;2;Accidente c/b;Indefinido con preaviso;Argentina;Corte Longitudinal;Argentina;0.0;0.0;606.5;0.0;No;Toolmaker;Entre 30-50;Muy grave;Mantenimiento
1678;;Turno de tarde;Hombre;29;Accidente s/b;Subcontratado;Galicia;Corte Longitudinal;España;17051.0;211.0;756.3;0.4;No;Operario Salida Decapado;Menor 30;Grave;Mantenimiento
1679;;Turno de tarde;Mujer;56;Accidente s/b;Incidente (no aplica);Hiasa;Tubos;España;0.0;167848.0;1300.5;101.5;No;Mechatroniker;Entre 30-50;Leve;Mantenimiento
1680;;Turno de noche;Hombre;55;Accidente s/b;Indefinido con preaviso;Hiasa;Sierra;España;0.0;167848.0;1300.5;101.5;No;Maquinista Trans 003;Mayor 50;Muy grave;Mantenimiento
1681;;Turno de tarde;Mujer;14;Accidente c/b;Indefinido;Burgos;Cizalla;España;25249.0;42484.0;1419.3;830.0999999999999;No;Alimentador;Mayor 50;Grave;Mantenimiento
1682;;Turno de tarde;Hombre;56;Accidente s/b;Indefinido;Hiasa;Tubos;España;0.0;167848.0;1300.5;101.5;No;Operador Principal (Em formação);Mayor 50;Muy grave;Mantenimiento
1683;;Turno de noche;Hombre;19;Incidente;Incidente (no aplica);Burgos;Recocido;España;25249.0;42484.0;1419.3;830.0999999999999;No;Gruista del ácido;Menor 30;Leve;Mantenimiento
1684;;Turno de noche;Hombre;14;Incidente;Incidente (no aplica);Burgos;Cizalla;España;25249.0;42484.0;1419.3;830.0999999999999;No;Descarga Galvanizado.;Entre 30-50;Leve;Mantenimiento
1685;;Turno de noche;Hombre;28;Incidente;Cedidos de otras plantas;Galicia;Blanking;España;17051.0;211.0;756.3;0.4;No;GRUISTA - EMBALADOR;Entre 30-50;Muy grave;Mantenimiento
1686;;Turno de noche;Hombre;16;Incidente;Cedidos de otras plantas;Burgos;Corte Transversal;España;25249.0;42484.0;1419.3;830.0999999999999;No;Operario procesos;Menor 30;Grave;Mantenimiento
1687;;Turno de mañana;Hombre;46;Accidente s/b;No aplica;Hiasa;Galvanizado Inmersión;España;0.0;167848.0;1300.5;101.5;No;Alimentador Perfiladora Tubos 601;Mayor 50;Grave;Mantenimiento
1688;;Turno de tarde;Hombre;36;Accidente s/b;Duración Determinada;Dongguan;Blanking;China;0.0;0.0;1501.0;0.0;No;packaging worker;Mayor 50;Leve;Mantenimiento
1689;;Turno de mañana;Hombre;53;Accidente s/b;ETT;Hiasa;Prensa;España;0.0;167848.0;1300.5;101.5;No;Slitter Operator;Entre 30-50;Grave;Mantenimiento
1690;;Turno de noche;Hombre;12;Accidente c/b;Prácticas;Barcelona;Skinpass;España;25684.5;18302.3;1150.6;151.5;No;TITULAR LÍNEA CORTE PRENSA I;Mayor 50;Leve;Mantenimiento
1691;;Turno de noche;Mujer;53;Incidente;Cedidos de otras plantas;Hiasa;Prensa;España;0.0;167848.0;1300.5;101.5;No;Operador de montacargas asistido en la carga de camiones;Menor 30;Leve;Mantenimiento
1692;;Turno de noche;Hombre;53;Incidente;Indefinido;Hiasa;Prensa;España;0.0;167848.0;1300.5;101.5;No;Operador de montacargas;Mayor 50;Grave;Mantenimiento
1693;;Turno de mañana;Hombre;4;Accidente c/b;Prácticas;Arizona;Células Soldadura;EEUU;0.0;0.0;0.0;0.0;No;alimentador;Menor 30;Muy grave;Mantenimiento
1694;;Turno de mañana;Hombre;55;Accidente c/b;No aplica;Hiasa;Sierra;España;0.0;167848.0;1300.5;101.5;No;MAQUINISTA Y AYUDANTE TRANSVERSAL 4;Menor 30;Grave;Mantenimiento
1695;;Turno de mañana;Hombre;28;Accidente c/b;ETT;Galicia;Blanking;España;17051.0;211.0;756.3;0.4;No;Alimentador tubos;Mayor 50;Grave;Mantenimiento
1696;;Turno de mañana;Hombre;41;Incidente;No aplica;Hiasa;Corte Láser;España;0.0;167848.0;1300.5;101.5;No;gruista/ maquinista plasma;Menor 30;Muy grave;Mantenimiento
1697;;Turno de tarde;Hombre;47;Accidente c/b;Indefinido;Hiasa;Laminado;España;0.0;167848.0;1300.5;101.5;No;占从涛;Entre 30-50;Muy grave;Mantenimiento
1698;;Turno de mañana;Hombre;28;Incidente;Indefinido;Galicia;Blanking;España;17051.0;211.0;756.3;0.4;No;Entrada para la descarga del camión con la bobina – no se dispone de datos del conductor;Entre 30-50;Leve;Mantenimiento
1699;;Turno de noche;Hombre;53;Incidente;Cedidos de otras plantas;Hiasa;Prensa;España;0.0;167848.0;1300.5;101.5;No;Cargue de material;Mayor 50;Leve;Mantenimiento
1700;;Turno de mañana;Hombre;55;Accidente s/b;Incidente (no aplica);Hiasa;Sierra;España;0.0;167848.0;1300.5;101.5;No;Proceso decapado;Mayor 50;Muy grave;Mantenimiento
1701;;Turno de tarde;Mujer;5;Accidente s/b;Indefinido con preaviso;Arizona;Corte Láser;EEUU;0.0;0.0;0.0;0.0;No;Nacharbeit;Mayor 50;Muy grave;Mantenimiento
1702;;Turno de tarde;Hombre;16;Incidente;Prácticas;Burgos;Corte Transversal;España;25249.0;42484.0;1419.3;830.0999999999999;No;Madera Prensas;Mayor 50;Leve;Mantenimiento
1703;;Turno de noche;Hombre;45;Incidente;Subcontratado;Hiasa;Decapado;España;0.0;167848.0;1300.5;101.5;No;Auxiliar/Montador Longi 7;Menor 30;Muy grave;Mantenimiento
1704;;Turno de mañana;Hombre;53;Accidente c/b;Indefinido con preaviso;Hiasa;Prensa;España;0.0;167848.0;1300.5;101.5;No;Montador LONGI001;Entre 30-50;Leve;Mantenimiento
1705;;Turno de mañana;Hombre;19;Accidente s/b;Subcontratado;Burgos;Recocido;España;25249.0;42484.0;1419.3;830.0999999999999;No;Operario de puente grúa;Entre 30-50;Grave;Mantenimiento
1706;;Turno de tarde;Hombre;2;Accidente s/b;Incidente (no aplica);Argentina;Corte Longitudinal;Argentina;0.0;0.0;606.5;0.0;No;hanger;Entre 30-50;Muy grave;Mantenimiento
1707;;Turno de noche;Hombre;44;Accidente s/b;Indefinido;Hiasa;Corte Transversal;España;0.0;167848.0;1300.5;101.5;No;foreman;Entre 30-50;Grave;Mantenimiento
1708;;Turno de mañana;Hombre;33;Accidente c/b;Incidente (no aplica);Gonvauto Asturias;Tubos;España;0.0;29316.0;188.0;47.0;No;Auxiliar de logística;Entre 30-50;Grave;Mantenimiento
1709;;Turno de mañana;Hombre;2;Accidente c/b;No aplica;Argentina;Corte Longitudinal;Argentina;0.0;0.0;606.5;0.0;No;Gruista de tubo tracker;Mayor 50;Leve;Mantenimiento
1710;;Turno de mañana;Hombre;16;Incidente;Cedidos de otras plantas;Burgos;Corte Transversal;España;25249.0;42484.0;1419.3;830.0999999999999;No;Movimentação;Entre 30-50;Grave;Mantenimiento
1711;;Turno de mañana;Hombre;46;Incidente;Cedidos de otras plantas;Hiasa;Galvanizado Inmersión;España;0.0;167848.0;1300.5;101.5;No;Técnico de Mantenimiento;Entre 30-50;Leve;Mantenimiento
1712;;Turno de tarde;Hombre;57;Accidente s/b;Incidente (no aplica);Kaluga;Blanking;Russia;4675.0;2625.3;240.0;0.0;No;LONGI 5;Menor 30;Leve;Mantenimiento
1713;;Turno de tarde;Hombre;44;Accidente c/b;No aplica;Hiasa;Corte Transversal;España;0.0;167848.0;1300.5;101.5;No;Maschinenführerin 2 Presse 3;Mayor 50;Grave;Mantenimiento
1714;;Turno de noche;Hombre;20;Accidente c/b;Indefinido;Burgos;Skinpass;España;25249.0;42484.0;1419.3;830.0999999999999;No;Engraving;Menor 30;Muy grave;Mantenimiento
1715;;Turno de noche;Hombre;53;Accidente c/b;ETT;Hiasa;Prensa;España;0.0;167848.0;1300.5;101.5;No;Verpackerin;Entre 30-50;Leve;Mantenimiento
1716;;Turno de tarde;Hombre;20;Accidente c/b;Duración Determinada;Burgos;Skinpass;España;25249.0;42484.0;1419.3;830.0999999999999;No;Gruista Tubos;Entre 30-50;Leve;Mantenimiento
1717;;Turno de noche;Hombre;20;Accidente c/b;Cedidos de otras plantas;Burgos;Skinpass;España;25249.0;42484.0;1419.3;830.0999999999999;No;Gruista LONGI004 y LONGI008;Mayor 50;Muy grave;Mantenimiento
1718;;Turno de mañana;Hombre;26;Accidente c/b;Incidente (no aplica);Campinas;Skinpass;Brasil;2835.52;2046.18;1212.5;0.0;No;Operador Logístico I;Entre 30-50;Grave;Mantenimiento
1719;;Turno de noche;Hombre;1;Accidente c/b;Indefinido con preaviso;Argentina;Blanking;Argentina;0.0;0.0;606.5;0.0;No;Empaquetador tubos;Mayor 50;Leve;Mantenimiento
1720;;Turno de tarde;Hombre;55;Accidente s/b;Indefinido con preaviso;Hiasa;Sierra;España;0.0;167848.0;1300.5;101.5;No;Longi 1;Mayor 50;Muy grave;Mantenimiento
1721;;Turno de noche;Hombre;47;Accidente c/b;Subcontratado;Hiasa;Laminado;España;0.0;167848.0;1300.5;101.5;No;maquinista lc;Mayor 50;Grave;Mantenimiento
1722;;Turno de tarde;Hombre;6;Accidente s/b;Indefinido con preaviso;Arizona;Tubos;EEUU;0.0;0.0;0.0;0.0;No;Operador Logístico I;Menor 30;Muy grave;Mantenimiento
1723;;Turno de mañana;Hombre;57;Accidente c/b;No aplica;Kaluga;Blanking;Russia;4675.0;2625.3;240.0;0.0;No;TRANS005;Entre 30-50;Muy grave;Mantenimiento
1724;;Turno de noche;Hombre;13;Incidente;Incidente (no aplica);Burgos;Blanking;España;25249.0;42484.0;1419.3;830.0999999999999;No;MF LSL 1;Mayor 50;Muy grave;Mantenimiento
1725;;Turno de noche;Hombre;56;Accidente s/b;Prácticas;Hiasa;Tubos;España;0.0;167848.0;1300.5;101.5;No;GRUISTA PTA008;Menor 30;Muy grave;Mantenimiento
1726;;Turno de tarde;Hombre;45;Incidente;Indefinido con preaviso;Hiasa;Decapado;España;0.0;167848.0;1300.5;101.5;No;SI. Auxiliar Evacuación MTM2;Entre 30-50;Grave;Mantenimiento
1727;;Turno de tarde;Hombre;7;Incidente;ETT;Barcelona;Cizalla;España;25684.5;18302.3;1150.6;151.5;No;Staplerfahrer Halle 5;Menor 30;Grave;Mantenimiento
1728;;Turno de noche;Mujer;20;Accidente c/b;Indefinido;Burgos;Skinpass;España;25249.0;42484.0;1419.3;830.0999999999999;No;Forklift driver;Menor 30;Leve;Mantenimiento
1729;;Turno de mañana;Hombre;26;Accidente s/b;Indefinido con preaviso;Campinas;Skinpass;Brasil;2835.52;2046.18;1212.5;0.0;No;Maquinista Trans3;Entre 30-50;Muy grave;Mantenimiento
1730;;Turno de noche;Mujer;26;Accidente c/b;Indefinido con preaviso;Campinas;Skinpass;Brasil;2835.52;2046.18;1212.5;0.0;No;MAQUINISTA Y AYUDANTE TRANSVERSAL 4;Menor 30;Muy grave;Mantenimiento
1731;;Turno de mañana;Hombre;27;Incidente;Indefinido con preaviso;Czech;Corte Láser 3D;Rep.Checa;0.0;0.0;0.0;0.0;No;Auxiliar de producción;Entre 30-50;Leve;Mantenimiento
1732;;Turno de noche;Hombre;26;Accidente c/b;Indefinido con preaviso;Campinas;Skinpass;Brasil;2835.52;2046.18;1212.5;0.0;No;Maschinenführer 1 Presse 5;Entre 30-50;Muy grave;Mantenimiento
1733;;Turno de mañana;Hombre;5;Accidente c/b;Indefinido;Arizona;Corte Láser;EEUU;0.0;0.0;0.0;0.0;No;Stacker - training as forklift driver;Menor 30;Grave;Mantenimiento
1734;;Turno de tarde;Hombre;18;Incidente;Prácticas;Burgos;Laminado;España;25249.0;42484.0;1419.3;830.0999999999999;No;Preparación del material para el corte en la línea, corte flejado;Entre 30-50;Grave;Mantenimiento
1735;;Turno de noche;Hombre;29;Accidente c/b;Prácticas;Galicia;Corte Longitudinal;España;17051.0;211.0;756.3;0.4;No;Carga material negro;Menor 30;Leve;Mantenimiento
1736;;Turno de noche;Hombre;13;Accidente c/b;No aplica;Burgos;Blanking;España;25249.0;42484.0;1419.3;830.0999999999999;No;Forklift Driver;Entre 30-50;Grave;Mantenimiento
1737;;Turno de tarde;Hombre;18;Incidente;ETT;Burgos;Laminado;España;25249.0;42484.0;1419.3;830.0999999999999;No;Carrying a pole via forklift;Mayor 50;Grave;Mantenimiento
1738;;Turno de tarde;Hombre;32;Incidente;Incidente (no aplica);Gonvauto Asturias;Sierra;España;0.0;29316.0;188.0;47.0;No;Titular Línea Corte Transversal;Mayor 50;Leve;Mantenimiento
1739;;Turno de tarde;Hombre;54;Accidente s/b;Cedidos de otras plantas;Hiasa;Punzonado;España;0.0;167848.0;1300.5;101.5;No;Cargador;Menor 30;Leve;Mantenimiento
1740;;Turno de mañana;Hombre;12;Accidente c/b;ETT;Barcelona;Skinpass;España;25684.5;18302.3;1150.6;151.5;No;Entrada por la puerta número 3 del vehículo de carga para su descarga;Entre 30-50;Grave;Mantenimiento
1741;;Turno de noche;Hombre;25;Accidente c/b;Prácticas;Campinas;Prensa;Brasil;2835.52;2046.18;1212.5;0.0;No;Maschinenführer1 (MF1);Mayor 50;Leve;Mantenimiento
1742;;Turno de noche;Hombre;18;Incidente;No aplica;Burgos;Laminado;España;25249.0;42484.0;1419.3;830.0999999999999;No;SI;Entre 30-50;Leve;Mantenimiento
1743;;Turno de noche;Hombre;29;Incidente;Subcontratado;Galicia;Corte Longitudinal;España;17051.0;211.0;756.3;0.4;No;Nacharbeiter;Mayor 50;Grave;Mantenimiento
1744;;Turno de tarde;Hombre;16;Accidente s/b;Prácticas;Burgos;Corte Transversal;España;25249.0;42484.0;1419.3;830.0999999999999;No;Gruista nave 6b zona negro;Mayor 50;Grave;Mantenimiento
1745;;Turno de noche;Mujer;34;Accidente s/b;Indefinido con preaviso;Gonvauto Barcelona;Blanking;España;72495.20000000001;21968.3;587.0;0.0;No;gruista de salida;Mayor 50;Leve;Mantenimiento
